"subID","runNum","currentContext","trialInRun","currentTrial","currentOnsetPTime","currentTrait"
1,1,"friend",1,1,5,"Fun"
1,1,"friend",2,2,11.7517,"Optimistic"
1,1,"friend",3,3,17.903,"Dependable"
1,1,"friend",4,4,26.0889,"Quiet"
1,1,"friend",5,5,32.236,"Sentimental"
1,1,"friend",6,6,39.3432,"Good-tempered"
1,1,"friend",7,7,45.5102,"Sincere"
1,1,"friend",8,8,52.7407,"Talkative"
1,1,"friend",9,9,59.1277,"Casual"
1,1,"friend",10,10,65.3277,"Lenient"
1,1,"friend",11,11,73.4399,"Unafraid"
1,1,"friend",12,12,79.6393,"Unassuming"
1,1,"friend",13,13,87.1327,"Positive"
1,1,"friend",14,14,93.6029,"Fair"
1,1,"friend",15,15,100.6363,"Outgoing"
1,1,"friend",16,16,106.8928,"Warm"
1,1,"friend",17,17,113.0769,"Lively"
1,1,"friend",18,18,119.2794,"Witty"
1,1,"friend",19,19,125.7579,"Studious"
1,1,"friend",21,21,139.0448,"Eager"
1,1,"friend",22,22,147.3678,"Understanding"
1,1,"friend",24,24,164.92,"Contemplative"
1,1,"friend",25,25,172.0919,"Open-minded"
1,1,"friend",26,26,178.8726,"Charitable"
1,1,"friend",27,27,185.0786,"Humorous"
1,1,"friend",29,29,198.9732,"Self-critical"
1,1,"friend",30,30,205.9209,"Generous"
1,1,"friend",32,32,219.2296,"Outspoken"
1,1,"friend",33,33,226.3703,"Good-humored"
1,1,"friend",35,35,239.3397,"Well-organized"
1,1,"friend",36,36,246.743,"Passionate"
1,1,"friend",37,37,256.4595,"Glad"
1,1,"friend",38,38,263.8035,"Lucky"
1,1,"friend",39,39,271.2698,"Verbal"
1,1,"friend",40,40,277.5217,"Comfortable"
1,1,"friend",41,41,284.4068,"Faithful"
1,1,"friend",42,42,292.0037,"Helpful"
1,1,"friend",44,44,307.6799,"Cooperative"
1,1,"friend",46,46,321.2619,"Enthusiastic"
1,1,"friend",47,47,328.1277,"Untiring"
1,1,"friend",48,48,334.4279,"Straightforward"
1,1,"friend",50,50,348.9846,"Good"
1,1,"friend",51,51,356.26,"Compassionate"
1,1,"friend",53,53,369.5241,"Natural"
1,1,"friend",54,54,375.9688,"Funny"
1,1,"friend",56,56,390.0774,"Mathematical"
1,1,"friend",57,57,396.259,"Communicative"
1,1,"friend",58,58,402.6415,"Scientific"
1,1,"friend",59,59,409.5767,"Gentle"
1,1,"friend",61,61,423.2731,"Confident"
1,1,"friend",62,62,430.7151,"Extraverted"
1,1,"friend",63,63,438.2296,"Original"
1,1,"friend",64,64,444.5619,"Nice"
1,1,"friend",65,65,451.0156,"Friendly"
1,1,"friend",66,66,457.6791,"Loyal"
1,1,"friend",68,68,471.6569,"Charming"
