subID,runNum,FD_mean,FD_max,FD_sd,0.3,0.4,0.5,0.6,0.9
01,1,0.159,0.579,0.084,22,5,2,0,0
01,2,0.143,0.633,0.091,22,6,3,2,0
01,3,0.145,0.746,0.101,19,10,7,2,0
01,4,0.149,0.774,0.121,25,19,11,6,0
02,1,0.092,0.293,0.044,0,0,0,0,0
02,2,0.116,0.597,0.062,5,2,2,0,0
02,3,0.102,0.53,0.058,3,2,1,0,0
02,4,0.103,0.397,0.055,5,0,0,0,0
03,1,0.14,1.029,0.108,14,9,5,4,2
03,2,0.128,1.169,0.103,9,4,4,4,2
03,3,0.143,1.809,0.148,14,9,7,5,3
03,4,0.103,0.438,0.04,1,1,0,0,0
04,1,0.166,2.948,0.212,4,4,3,2,2
04,2,0.15,0.674,0.068,3,1,1,1,0
04,3,0.137,0.436,0.054,1,1,0,0,0
04,4,0.151,1.667,0.11,7,4,2,2,1
06,1,0.085,0.218,0.042,0,0,0,0,0
06,2,0.093,0.21,0.041,0,0,0,0,0
06,3,0.098,0.199,0.036,0,0,0,0,0
06,4,0.103,0.225,0.04,0,0,0,0,0
07,1,0.166,0.328,0.069,3,0,0,0,0
07,2,0.156,0.826,0.099,17,9,8,4,0
07,3,0.186,0.851,0.124,38,19,12,5,0
07,4,0.159,0.321,0.067,5,0,0,0,0
08,1,0.088,0.236,0.036,0,0,0,0,0
08,2,0.077,0.241,0.031,0,0,0,0,0
08,3,0.07,0.189,0.027,0,0,0,0,0
08,4,0.069,0.19,0.028,0,0,0,0,0
09,1,0.088,0.213,0.031,0,0,0,0,0
09,2,0.111,0.987,0.08,8,3,2,1,1
09,3,0.163,1.608,0.153,30,18,14,9,2
09,4,0.128,0.648,0.08,12,4,2,1,0
10,1,0.127,0.448,0.062,5,4,0,0,0
10,2,0.102,0.281,0.042,0,0,0,0,0
10,3,0.095,0.394,0.051,4,0,0,0,0
10,4,0.091,0.421,0.051,4,1,0,0,0
11,1,0.167,0.478,0.073,15,2,0,0,0
11,2,0.144,0.702,0.058,5,2,1,1,0
11,3,0.145,0.621,0.064,7,2,2,1,0
11,4,0.158,0.692,0.073,8,4,2,1,0
12,1,0.141,0.329,0.057,2,0,0,0,0
12,2,0.139,0.306,0.054,1,0,0,0,0
12,3,0.143,0.339,0.055,2,0,0,0,0
12,4,0.146,0.37,0.051,1,0,0,0,0
13,1,0.166,0.745,0.092,19,10,5,2,0
13,2,0.135,0.349,0.052,1,0,0,0,0
13,3,0.177,0.551,0.084,30,7,1,0,0
